Roll no,Division,Tutorial,Lab,Location
220101079,III,T16,L6,4G1
220101080,III,T17,L6,4G2
220101082,III,T17,L6,4G2
220101083,III,T17,L6,4G2
220101084,III,T17,L6,4G2
220101085,III,T17,L6,4G2
220101086,III,T17,L6,4G2
220101087,III,T17,L6,4G2
220101088,III,T17,L6,4G2
220101089,III,T18,L6,L1
220101090,III,T18,L6,L1
220101091,III,T18,L6,L1
220101092,III,T18,L6,L1
220101093,III,T18,L6,L1
220101094,III,T18,L6,L1
220101095,III,T18,L6,L1
220101096,III,T18,L6,L1
220101097,III,T18,L6,L1
220101098,III,T19,L6,L2
220101099,III,T19,L6,L2
220101101,III,T19,L7,L2
220101102,III,T19,L7,L2
220101103,III,T19,L7,L2
220101104,III,T19,L7,L2
220101105,III,T19,L7,L2
220101106,III,T19,L7,L2
220101107,III,T19,L7,L2
220101108,III,T19,L7,L2
220101109,III,T19,L7,L2
220101110,III,T19,L7,L2
220101111,III,T20,L7,L3
220101112,III,T20,L7,L3
220101113,III,T20,L7,L3
220101114,III,T20,L7,L3
220101115,III,T20,L7,L3
220121001,III,T1,L7,5G1
220121002,III,T1,L7,5G1
220121003,III,T1,L7,5G1
220121004,III,T1,L7,5G1
220121005,III,T2,L7,2101
220121006,III,T2,L7,2101
220121008,III,T2,L7,2101
220121009,III,T3,L7,2203
220121010,III,T3,L7,2203
220121011,III,T3,L7,2203
220121012,III,T3,L7,2203
220121013,III,T4,L7,2204
220121014,III,T4,L7,2204
220121015,III,T4,L7,2204
220121016,III,T4,L7,2204
220121017,III,T4,L7,2204
220121018,III,T5,L7,3102
220121019,III,T5,L7,3102
220121020,III,T5,L7,3102
220121021,III,T5,L7,3102
220121022,III,T6,L7,3202
220121023,III,T6,L7,3202
220121024,III,T6,L7,3202
220121025,III,T6,L7,3202
220121026,III,T7,L7,4001
220121027,III,T7,L7,4001
220121028,III,T7,L7,4001
220121029,III,T7,L7,4001
220121030,III,T7,L7,4001
220121031,III,T8,L7,4005
220121032,III,T8,L7,4005
220121033,III,T8,L7,4005
220121034,III,T8,L7,4005
220121035,III,T8,L7,4005
220121036,III,T9,L7,4006
220121037,III,T9,L7,4006
220121038,III,T9,L7,4006
220121039,III,T9,L7,4006
220121040,III,T9,L7,4006
220121041,III,T10,L7,5201
220121042,III,T10,L7,5201
220121043,III,T10,L7,5201
220121044,III,T10,L7,5201
220121046,III,T11,L7,1205
220121047,III,T11,L7,1205
220121048,III,T11,L7,1205
220121049,III,T11,L7,1205
220121050,III,T11,L7,1205
220121051,III,T12,L7,5206
220121052,III,T12,L7,5206
220121053,III,T12,L7,5206
